account_id,account_holder_name,account_type,home_country,currency,kyc_tier,account_created_date,personal_spend_baseline_usd
FLR-ACC-100000,Amaka Okafor,Individual,NG,NGN,Tier3_Enhanced,2022-08-28,63.23
FLR-ACC-100001,Bluewave Foods Ltd,Business,NG,NGN,Tier1_Basic,2026-04-27,810.68
FLR-ACC-100002,Global Trading LLC,Business,US,USD,Tier2_Verified,2026-03-29,433.67
FLR-ACC-100003,Femi Adeyemi,Individual,NG,NGN,Tier3_Enhanced,2025-09-15,19.18
FLR-ACC-100004,Ngozi Brown,Individual,NG,NGN,Tier3_Enhanced,2024-06-18,28.68
FLR-ACC-100005,Global Technologies Co.,Business,US,USD,Tier2_Verified,2023-06-08,445.6
FLR-ACC-100006,Olu Bello,Individual,US,USD,Tier2_Verified,2026-03-05,91.87
FLR-ACC-100007,North Foods Co.,Business,US,USD,Tier1_Basic,2026-01-30,285.49
FLR-ACC-100008,Greenfield Textiles Ltd,Business,US,USD,Tier1_Basic,2024-08-23,332.68
FLR-ACC-100009,David Johnson,Individual,US,USD,Tier1_Basic,2024-12-20,87.67
FLR-ACC-100010,Funke Okoro,Individual,NG,NGN,Tier2_Verified,2026-08-15,29.07
FLR-ACC-100011,Grace Nwosu,Individual,NG,NGN,Tier2_Verified,2026-02-04,59.12
FLR-ACC-100012,Grace Ibrahim,Individual,NG,NGN,Tier2_Verified,2023-08-05,53.1
FLR-ACC-100013,Ben Ibrahim,Individual,FR,EUR,Tier3_Enhanced,2024-02-11,88.79
FLR-ACC-100014,Kunle Balogun,Individual,GB,GBP,Tier3_Enhanced,2023-06-27,15.67
FLR-ACC-100015,James Chukwu,Individual,NG,NGN,Tier3_Enhanced,2025-01-01,41.82
FLR-ACC-100016,Sunrise Builders Inc,Business,NG,NGN,Tier1_Basic,2026-05-21,1579.69
FLR-ACC-100017,Greenfield Consulting Co.,Business,NG,NGN,Tier3_Enhanced,2023-11-21,102.52
FLR-ACC-100018,Michael Johnson,Individual,US,USD,Tier2_Verified,2023-05-15,44.46
FLR-ACC-100019,Apex Foods Co.,Business,DE,EUR,Tier2_Verified,2025-05-20,337.06
FLR-ACC-100020,Chioma Brown,Individual,US,USD,Tier3_Enhanced,2022-08-04,30.8
FLR-ACC-100021,Aisha Nwosu,Individual,DE,EUR,Tier3_Enhanced,2024-04-21,31.48
FLR-ACC-100022,Blessing Ibrahim,Individual,NG,NGN,Tier2_Verified,2024-07-19,27.72
FLR-ACC-100023,Ngozi Balogun,Individual,NG,NGN,Tier2_Verified,2025-07-17,193.33
FLR-ACC-100024,Ngozi Johnson,Individual,US,USD,Tier3_Enhanced,2024-12-26,57.64
FLR-ACC-100025,Funke Williams,Individual,NG,NGN,Tier2_Verified,2024-09-20,78.59
FLR-ACC-100026,Blessing Brown,Individual,NG,NGN,Tier2_Verified,2025-07-30,34.6
FLR-ACC-100027,Urban Textiles LLC,Business,GB,GBP,Tier2_Verified,2026-05-02,118.9
FLR-ACC-100028,Grace Ibrahim,Individual,NG,NGN,Tier1_Basic,2025-12-03,101.12
FLR-ACC-100029,Grace Adekunle,Individual,NG,NGN,Tier2_Verified,2022-10-23,91.99
FLR-ACC-100030,Ifeoma Adeyemi,Individual,NG,NGN,Tier1_Basic,2026-04-06,28.22
FLR-ACC-100031,Chidi Johnson,Individual,DE,EUR,Tier2_Verified,2025-10-18,23.98
FLR-ACC-100032,Amaka Adeyemi,Individual,NG,NGN,Tier2_Verified,2025-08-28,154.2
FLR-ACC-100033,Ben Johnson,Individual,NG,NGN,Tier1_Basic,2026-05-29,82.04
FLR-ACC-100034,Silverline Builders LLC,Business,US,USD,Tier2_Verified,2025-08-02,393.81
FLR-ACC-100035,Tobi Adekunle,Individual,NG,NGN,Tier2_Verified,2024-05-12,86.7
FLR-ACC-100036,Kunle Obi,Individual,DE,EUR,Tier2_Verified,2024-08-29,182.21
FLR-ACC-100037,Mary Okoro,Individual,NG,NGN,Tier2_Verified,2026-02-09,98.63
FLR-ACC-100038,Bluewave Builders Inc,Business,FR,EUR,Tier3_Enhanced,2025-12-11,1133.57
FLR-ACC-100039,David Hassan,Individual,US,USD,Tier3_Enhanced,2024-10-25,95.16
FLR-ACC-100040,Chidi Balogun,Individual,NG,NGN,Tier3_Enhanced,2024-02-17,50.29
FLR-ACC-100041,Prime Textiles LLC,Business,US,USD,Tier2_Verified,2025-08-23,238.3
FLR-ACC-100042,Laura Chukwu,Individual,GB,GBP,Tier1_Basic,2024-12-21,197.34
FLR-ACC-100043,Silverline Technologies Ltd,Business,NG,NGN,Tier2_Verified,2024-01-23,62.07
FLR-ACC-100044,Tobi Eze,Individual,US,USD,Tier2_Verified,2025-10-23,34.7
FLR-ACC-100045,Prime Foods Inc,Business,GB,GBP,Tier2_Verified,2024-11-25,564.67
FLR-ACC-100046,Tobi Chukwu,Individual,FR,EUR,Tier2_Verified,2025-02-23,34.24
